time,temp,m/z,abundance
0.0,0.0,84.0,882.4
0.02,0.0,85.0,235.3
0.04,0.0,86.0,294.1
0.06,0.0,87.0,58.8
0.08,0.0,88.0,0.0
0.1,0.0,89.0,0.0
0.12,0.0,90.0,235.3
0.14,0.0,91.0,1294.1
0.16,0.0,92.0,941.2
0.18,0.0,93.0,647.1
0.2,0.0,94.0,529.4
0.22,0.0,95.0,294.1
0.24,0.0,96.0,588.2
0.26,0.0,97.0,1000.0
0.28,0.0,98.0,588.2
0.3,0.0,99.0,117.6
0.32,0.0,100.0,823.5
0.34,0.0,101.0,705.9
0.36,0.0,102.0,0.0
0.38,0.0,103.0,176.5
0.4,0.0,104.0,352.9
0.42,0.0,105.0,470.6
0.44,0.0,106.0,411.8
0.46,0.0,107.0,58.8
0.48,0.0,108.0,294.1
0.5,0.0,109.0,117.6
0.52,0.0,110.0,0.0
0.54,0.0,111.0,58.8
0.56,0.0,112.0,352.9
0.58,0.0,113.0,0.0
0.6,0.0,114.0,117.6
0.62,0.0,115.0,294.1
0.64,0.0,116.0,58.8
0.66,0.0,117.0,58.8
0.68,0.0,118.0,294.1
0.7,0.0,119.0,1000.0
0.72,0.0,120.0,117.6
0.74,0.0,121.0,58.8
0.76,0.0,122.0,0.0
0.78,0.0,123.0,0.0
0.8,0.0,124.0,235.3
0.82,0.0,125.0,58.8
0.84,0.0,126.0,58.8
0.86,0.0,127.0,647.1
0.88,0.0,128.0,294.1
0.9,0.0,129.0,117.6
0.92,0.0,130.0,58.8
0.94,0.0,131.0,235.3
0.96,1.108,132.0,176.5
0.98,2.216,133.0,117.6
1.0,3.324,134.0,58.8
1.02,4.432,135.0,235.3
1.04,5.54,136.0,58.8
1.06,6.648,137.0,58.8
1.08,7.756,138.0,58.8
1.1,8.864,139.0,58.8
1.12,9.972,140.0,0.0
1.14,11.08,141.0,117.6
1.16,12.188,142.0,0.0
1.18,13.296,143.0,58.8
1.2,14.404,144.0,58.8
1.22,15.512,145.0,0.0
1.24,16.62,146.0,176.5
1.26,17.728,147.0,352.9
1.28,18.836,148.0,58.8
1.3,19.944,149.0,117.6
1.32,21.052,150.0,352.9
1.36,23.268,151.1,529.4
1.38,24.376,151.0,117.6
1.4,25.484,152.0,0.0
1.42,26.592,153.0,0.0
1.44,27.7,154.0,0.0
1.46,28.808,155.0,0.0
1.48,29.916,184.0,0.0
1.5,31.024,189.0,0.0
1.52,32.132,192.0,0.0
1.54,33.24,207.0,0.0
1.56,34.348,221.0,0.0
1.58,35.456,233.0,0.0
1.6,36.564,281.0,0.0
1.64,38.78,1.9,454529.4
1.66,39.888,2.0,482529.4
1.68,40.996,3.0,176.5
1.7,42.104,12.0,20176.5
1.72,43.212,13.0,5058.8
1.74,44.32,14.0,24882.4
1.76,45.428,15.0,71352.9
1.78,46.536,16.0,251000.0
1.8,47.644,17.0,1757117.6
1.82,48.752,19.0,149352.9
1.84,49.86,20.0,51470.6
1.88,52.076,21.0,588.2
1.9,53.184,22.0,4176.5
1.92,54.292,23.0,235.3
1.94,55.4,24.0,1647.1
1.96,54.292,25.0,2647.1
1.98,53.184,26.0,29647.1
2.0,52.076,27.0,119176.5
2.02,50.968,28.0,793588.2
2.04,49.86,29.0,69588.2
2.06,48.752,30.0,63176.5
2.08,47.644,31.0,7117.6
2.1,46.536,32.0,279352.9
2.12,45.428,33.0,7529.4
2.14,44.32,34.0,22176.5
2.16,43.212,35.0,882.4
2.18,42.104,35.8,9294.1
2.2,40.996,35.9,10823.5
2.22,39.888,36.0,9823.5
2.24,38.78,36.1,10000.0
2.26,37.672,36.2,7823.5
2.28,36.564,36.8,1352.9
2.3,35.456,36.9,1294.1
2.32,34.348,37.0,1117.6
2.34,33.24,37.1,1823.5
2.36,32.132,37.2,1352.9
2.38,31.024,37.8,8058.8
2.4,29.916,37.9,8176.5
2.42,28.808,38.0,6705.9
2.44,27.7,38.1,6588.2
2.46,26.592,38.2,4294.1
2.48,25.484,39.0,13647.1
2.5,24.376,39.8,12882.4
2.52,23.268,39.9,13058.8
2.54,22.16,40.0,12176.5
2.56,21.052,40.1,14764.7
2.58,19.944,40.2,11823.5
2.6,18.836,41.0,28941.2
2.62,17.728,42.0,47000.0
2.64,16.62,43.0,57117.6
2.66,15.512,44.0,770117.6
2.68,14.404,45.0,25352.9
2.7,13.296,46.0,5294.1
2.72,12.188,47.0,7882.4
2.74,11.08,48.0,75117.6
2.76,9.972,49.0,1294.1
2.78,8.864,50.0,6529.4
2.8,7.756,51.0,4000.0
2.82,6.648,52.0,3000.0
2.84,5.54,53.0,1941.2
2.86,4.432,54.0,1882.4
2.88,3.324,55.0,3705.9
2.9,2.216,56.0,7764.7
2.92,1.108,57.0,7411.8
2.94,0.0,58.0,5117.6
2.96,0.0,59.0,3235.3
2.98,0.0,60.0,3470.6
3.0,0.0,61.0,823.5
3.02,0.0,62.0,1176.5
3.04,0.0,63.0,1294.1
3.06,0.0,63.8,206588.2
3.08,0.0,63.9,199647.1
3.1,0.0,64.0,203764.7
3.12,0.0,64.1,179764.7
3.14,0.0,64.2,163176.5
3.16,1.382,65.0,2411.8
3.18,2.765,65.8,11823.5
3.2,4.147,65.9,11294.1
3.22,5.53,66.0,10235.3
3.24,6.912,66.1,11352.9
3.26,8.295,66.2,9705.9
3.28,9.677,67.0,1352.9
3.3,11.06,68.0,1411.8
3.32,12.442,69.0,8000.0
3.34,13.825,70.0,1647.1
3.36,15.207,71.0,352.9
3.38,16.59,72.0,2058.8
3.4,17.972,73.0,7235.3
3.42,19.355,74.0,941.2
3.44,20.737,75.0,1000.0
3.46,22.12,76.0,352.9
3.48,23.502,77.0,1941.2
3.5,24.885,78.0,2588.2
3.52,26.267,79.0,2352.9
3.54,27.65,80.0,764.7
3.56,29.032,81.0,1411.8
3.58,30.415,82.0,1235.3
3.6,31.797,83.0,470.6
3.62,33.18,84.0,529.4
3.64,34.563,85.0,470.6
3.66,35.945,86.0,117.6
3.68,37.327,87.0,117.6
3.7,38.71,88.0,58.8
3.72,40.093,89.0,176.5
3.74,41.475,90.0,117.6
3.76,42.857,91.0,1470.6
3.78,44.24,92.0,529.4
3.8,45.623,93.0,705.9
3.82,47.005,94.0,764.7
3.84,48.387,95.0,411.8
3.86,49.77,96.0,529.4
3.88,51.153,97.0,764.7
3.9,52.535,98.0,235.3
3.92,53.917,99.0,0.0
3.94,55.3,100.0,1058.8
3.96,55.32,101.0,823.5
3.98,55.34,102.0,58.8
4.0,55.36,103.0,117.6
