time,temp,m/z,abundance
0.0,0.0,132.0,58.8
0.02,0.0,133.0,235.3
0.04,0.0,134.0,0.0
0.06,0.0,135.0,0.0
0.08,0.0,136.0,0.0
0.1,0.0,137.0,0.0
0.12,0.0,138.0,0.0
0.14,0.0,139.0,0.0
0.16,0.0,140.0,58.8
0.18,0.0,141.0,58.8
0.2,0.0,142.0,0.0
0.22,0.0,143.0,0.0
0.24,0.0,144.0,0.0
0.26,0.0,145.0,176.5
0.28,0.0,146.0,294.1
0.3,0.0,147.0,647.1
0.32,0.0,148.0,0.0
0.34,0.0,149.0,58.8
0.36,0.0,150.0,117.6
0.4,0.0,151.1,235.3
0.42,0.0,151.0,117.6
0.44,0.0,152.0,0.0
0.46,0.0,153.0,0.0
0.48,0.0,154.0,0.0
0.5,0.0,155.0,0.0
0.52,0.0,184.0,0.0
0.54,0.0,189.0,0.0
0.56,0.0,192.0,0.0
0.58,0.0,207.0,0.0
0.6,0.0,221.0,0.0
0.62,0.0,233.0,0.0
0.64,0.0,281.0,0.0
0.68,0.0,1.9,266588.2
0.7,0.0,2.0,280470.6
0.72,0.0,3.0,58.8
0.74,0.0,12.0,13176.5
0.76,0.0,13.0,2235.3
0.78,0.0,14.0,13058.8
0.8,0.0,15.0,31705.9
0.82,0.0,16.0,171352.9
0.84,0.0,17.0,1193941.2
0.86,0.0,19.0,186058.8
0.88,0.0,20.0,42588.2
0.92,0.0,21.0,117.6
0.94,0.0,22.0,3470.6
0.96,0.0,23.0,588.2
0.98,0.0,24.0,647.1
1.0,0.0,25.0,1235.3
1.02,0.924,26.0,13823.5
1.04,1.848,27.0,48470.6
1.06,2.772,28.0,482117.6
1.08,3.696,29.0,33294.1
1.1,4.62,30.0,29529.4
1.12,5.544,31.0,3882.4
1.14,6.468,32.0,229647.1
1.16,7.392,33.0,5058.8
1.18,8.316,34.0,10823.5
1.2,9.24,35.0,1000.0
1.22,10.164,35.8,4941.2
1.24,11.088,35.9,6176.5
1.26,12.012,36.0,5588.2
1.28,12.936,36.1,4647.1
1.3,13.86,36.2,4529.4
1.32,14.784,36.8,1117.6
1.34,15.708,36.9,1000.0
1.36,16.632,37.0,1588.2
1.38,17.556,37.1,882.4
1.4,18.48,37.2,1058.8
1.42,19.404,37.8,3411.8
1.44,20.328,37.9,3764.7
1.46,21.252,38.0,2823.5
1.48,22.176,38.1,3176.5
1.5,23.1,38.2,2647.1
1.52,24.024,39.0,6235.3
1.54,24.948,39.8,5000.0
1.56,25.872,39.9,5058.8
1.58,26.796,40.0,6823.5
1.6,27.72,40.1,4470.6
1.62,28.644,40.2,5294.1
1.64,29.568,41.0,15588.2
1.66,30.492,42.0,14882.4
