time,temp,m/z,abundance
0.0,0.0,31.0,1000.0
0.02,0.0,32.0,70000.0
0.04,0.0,33.0,1823.5
0.06,0.0,34.0,6000.0
0.08,0.0,35.0,588.2
0.1,0.0,35.8,1941.2
0.12,0.0,35.9,1941.2
0.14,0.0,36.0,3000.0
0.16,0.0,36.1,2058.8
0.18,0.0,36.2,2352.9
0.2,0.0,36.8,352.9
0.22,0.0,36.9,411.8
0.24,0.0,37.0,529.4
0.26,0.0,37.1,529.4
0.28,0.0,37.2,117.6
0.3,0.0,37.8,1882.4
0.32,0.0,37.9,2235.3
0.34,0.0,38.0,1529.4
0.36,0.0,38.1,1588.2
0.38,0.0,38.2,1294.1
0.4,0.0,39.0,3411.8
0.42,0.0,39.8,2529.4
0.44,0.0,39.9,2588.2
0.46,0.0,40.0,2470.6
0.48,0.0,40.1,1941.2
0.5,0.0,40.2,2117.6
0.52,0.0,41.0,6470.6
0.54,0.0,42.0,7764.7
0.56,0.0,43.0,9294.1
0.58,0.0,44.0,235294.1
0.6,0.0,45.0,4470.6
0.62,0.0,46.0,1529.4
0.64,0.0,47.0,2352.9
0.66,0.0,48.0,16117.6
0.68,0.0,49.0,117.6
0.7,0.0,50.0,1705.9
0.72,0.0,51.0,1058.8
0.74,0.0,52.0,588.2
0.76,0.0,53.0,470.6
0.78,0.0,54.0,411.8
0.8,0.0,55.0,1000.0
0.82,0.0,56.0,1058.8
0.84,0.0,57.0,1588.2
0.86,0.0,58.0,705.9
0.88,0.0,59.0,235.3
0.9,0.0,60.0,1176.5
0.92,0.0,61.0,117.6
0.94,0.0,62.0,0.0
0.96,0.0,63.0,647.1
0.98,0.0,63.8,35058.8
1.0,0.0,63.9,36411.8
1.02,1.964,64.0,38294.1
1.04,3.928,64.1,33705.9
1.06,5.892,64.2,25529.4
1.08,7.856,65.0,764.7
1.1,9.82,65.8,2647.1
1.12,11.784,65.9,2294.1
1.14,13.748,66.0,2058.8
1.16,15.712,66.1,2588.2
1.18,17.676,66.2,2235.3
1.2,19.64,67.0,176.5
1.22,21.604,68.0,411.8
1.24,23.568,69.0,2411.8
1.26,25.532,70.0,588.2
1.28,27.496,71.0,0.0
1.3,29.46,72.0,117.6
1.32,31.424,73.0,411.8
1.34,33.388,74.0,58.8
1.36,35.352,75.0,58.8
1.38,37.316,76.0,58.8
1.4,39.28,77.0,529.4
1.42,41.244,78.0,470.6
1.44,43.208,79.0,411.8
1.46,45.172,80.0,117.6
1.48,47.136,81.0,411.8
1.5,49.1,82.0,176.5
1.52,51.064,83.0,0.0
1.54,53.028,84.0,0.0
1.56,54.992,85.0,58.8
1.58,56.956,86.0,0.0
1.6,58.92,87.0,0.0
1.62,60.884,88.0,58.8
1.64,62.848,89.0,0.0
1.66,64.812,90.0,0.0
1.68,66.776,91.0,411.8
1.7,68.74,92.0,176.5
1.72,70.704,93.0,0.0
1.74,72.668,94.0,588.2
1.76,74.632,95.0,58.8
1.78,76.596,96.0,58.8
1.8,78.56,97.0,352.9
1.82,80.524,98.0,58.8
1.84,82.488,99.0,58.8
1.86,84.452,100.0,58.8
1.88,86.416,101.0,235.3
1.9,88.38,102.0,58.8
1.92,90.344,103.0,0.0
1.94,92.308,104.0,0.0
1.96,94.272,105.0,117.6
1.98,96.236,106.0,58.8
2.0,98.2,107.0,58.8
2.02,96.236,108.0,0.0
2.04,94.272,109.0,117.6
2.06,92.308,110.0,0.0
2.08,90.344,111.0,0.0
2.1,88.38,112.0,58.8
2.12,86.416,113.0,0.0
2.14,84.452,114.0,0.0
2.16,82.488,115.0,235.3
2.18,80.524,116.0,0.0
2.2,78.56,117.0,0.0
2.22,76.596,118.0,0.0
2.24,74.632,119.0,411.8
2.26,72.668,120.0,0.0
2.28,70.704,121.0,0.0
2.3,68.74,122.0,0.0
2.32,66.776,123.0,0.0
2.34,64.812,124.0,0.0
2.36,62.848,125.0,0.0
2.38,60.884,126.0,0.0
2.4,58.92,127.0,117.6
2.42,56.956,128.0,0.0
2.44,54.992,129.0,58.8
2.46,53.028,130.0,117.6
2.48,51.064,131.0,294.1
2.5,49.1,132.0,58.8
2.52,47.136,133.0,58.8
2.54,45.172,134.0,0.0
2.56,43.208,135.0,0.0
2.58,41.244,136.0,0.0
2.6,39.28,137.0,0.0
2.62,37.316,138.0,58.8
2.64,35.352,139.0,0.0
2.66,33.388,140.0,0.0
2.68,31.424,141.0,0.0
2.7,29.46,142.0,0.0
2.72,27.496,143.0,0.0
2.74,25.532,144.0,0.0
2.76,23.568,145.0,0.0
2.78,21.604,146.0,0.0
2.8,19.64,147.0,58.8
2.82,17.676,148.0,0.0
2.84,15.712,149.0,0.0
2.86,13.748,150.0,0.0
2.9,9.82,151.1,58.8
2.92,7.856,151.0,58.8
2.94,5.892,152.0,0.0
2.96,3.928,153.0,0.0
2.98,1.964,154.0,0.0
3.0,0.0,155.0,0.0
3.02,0.0,184.0,0.0
3.04,0.0,189.0,0.0
3.06,0.0,192.0,0.0
3.08,0.0,207.0,58.8
