time,temp,m/z,abundance
0.0,0.0,78.0,647.1
0.02,0.0,79.0,235.3
0.04,0.0,80.0,294.1
0.06,0.0,81.0,470.6
0.26,0.0,82.0,176.5
0.28,0.0,83.0,235.3
0.3,0.0,84.0,235.3
0.32,0.0,85.0,58.8
0.34,0.0,86.0,58.8
0.36,0.0,87.0,0.0
0.38,0.0,88.0,0.0
0.4,0.0,89.0,117.6
0.42,0.0,90.0,117.6
0.44,0.0,91.0,411.8
0.46,0.0,92.0,117.6
0.48,0.0,93.0,294.1
0.5,0.0,94.0,235.3
0.52,0.0,95.0,117.6
0.54,0.0,96.0,58.8
0.56,0.0,97.0,176.5
0.58,0.0,98.0,58.8
0.6,0.0,99.0,0.0
0.62,0.0,100.0,117.6
0.64,0.0,101.0,235.3
0.66,0.0,102.0,0.0
0.9,0.0,103.0,0.0
0.92,0.0,104.0,0.0
0.94,0.0,105.0,0.0
0.96,0.0,106.0,58.8
0.98,0.0,107.0,117.6
1.0,0.0,108.0,0.0
1.02,1.874,109.0,0.0
1.04,3.748,110.0,0.0
1.06,5.622,111.0,0.0
1.08,7.496,112.0,0.0
1.1,9.37,113.0,58.8
1.12,11.244,114.0,0.0
1.14,13.118,115.0,117.6
1.16,14.992,116.0,117.6
1.18,16.866,117.0,0.0
1.2,18.74,118.0,58.8
1.22,20.614,119.0,411.8
1.24,22.488,120.0,0.0
1.26,24.362,121.0,0.0
1.28,26.236,122.0,58.8
1.3,28.11,123.0,0.0
1.5,46.85,124.0,0.0
1.52,48.724,125.0,0.0
1.54,50.598,126.0,0.0
1.56,52.472,127.0,58.8
1.58,54.346,128.0,0.0
1.6,56.22,129.0,58.8
1.62,58.094,130.0,58.8
1.64,59.968,131.0,176.5
1.66,61.842,132.0,0.0
1.68,63.716,133.0,0.0
1.7,65.59,134.0,0.0
1.72,67.464,135.0,0.0
1.74,69.338,136.0,0.0
1.76,71.212,137.0,0.0
1.78,73.086,138.0,0.0
1.8,74.96,139.0,0.0
1.82,76.834,140.0,0.0
1.84,78.708,141.0,58.8
1.86,80.582,142.0,0.0
1.88,82.456,143.0,0.0
1.9,84.33,144.0,0.0
1.92,86.204,145.0,0.0
1.94,88.078,146.0,0.0
1.96,89.952,147.0,117.6
1.98,91.826,148.0,0.0
2.0,93.7,149.0,0.0
2.02,93.743,150.0,0.0
2.2,94.129,5.0,0.0
2.22,94.171,6.0,0.0
2.24,94.214,7.0,0.0
2.26,94.257,8.0,58.8
2.28,94.3,9.0,0.0
2.3,94.343,10.0,0.0
2.32,94.386,11.0,0.0
