time,temp,m/z,abundance
0.0,35.763,0.0,58.8
0.2,34.959,5.0,0.0
0.22,35.495,6.0,58.8
0.24,34.959,7.0,0.0
0.42,35.763,12.0,40117.6
0.44,36.03,13.0,4000.0
0.46,35.495,14.0,11411.8
0.48,35.763,15.0,53176.5
0.5,35.763,16.0,230823.5
0.52,35.763,17.0,1217058.8
0.54,35.763,18.0,4632705.9
0.56,35.495,19.0,208941.2
0.58,35.227,20.0,15117.6
0.62,35.763,21.0,0.0
0.64,34.959,22.0,10235.3
0.66,35.495,23.0,0.0
0.68,35.495,24.0,529.4
0.7,36.03,25.0,2294.1
0.72,35.763,26.0,21411.8
0.74,35.763,27.0,78352.9
0.76,35.495,28.0,666176.5
0.78,35.227,29.0,23647.1
0.96,35.495,30.0,12000.0
0.98,35.763,31.0,3588.2
1.0,36.03,32.0,16000.0
1.02,35.495,33.0,4470.6
1.04,34.959,34.0,4705.9
1.06,36.03,35.0,411.8
1.08,35.763,36.0,1058.8
1.1,36.03,37.0,1352.9
1.12,35.763,38.0,2647.1
1.14,36.03,39.0,13823.5
1.16,35.763,40.0,10176.5
1.18,35.495,41.0,32352.9
1.2,35.763,42.0,19117.6
1.22,35.763,43.0,17235.3
1.24,35.495,44.0,1791117.6
1.26,35.763,45.0,25411.8
1.28,35.495,46.0,8647.1
1.3,36.566,47.0,3588.2
1.32,34.959,48.0,12235.3
1.34,34.959,49.0,764.7
1.36,35.227,50.0,5235.3
1.38,35.495,51.0,3764.7
1.4,35.763,52.0,3352.9
1.42,35.763,53.0,1588.2
1.44,35.763,54.0,1411.8
1.46,35.495,55.0,4823.5
1.66,34.959,56.0,13294.1
1.68,34.959,57.0,6235.3
1.7,35.495,58.0,49588.2
1.72,35.227,59.0,2117.6
1.74,35.763,60.0,2000.0
1.76,36.03,61.0,823.5
1.78,35.495,62.0,235.3
1.8,35.227,63.0,411.8
1.82,36.03,64.0,23352.9
1.84,36.03,65.0,411.8
1.86,35.495,66.0,2000.0
1.88,36.03,67.0,411.8
1.9,36.03,68.0,411.8
1.92,35.763,69.0,18882.4
1.94,35.495,70.0,411.8
1.96,35.495,71.0,176.5
1.98,35.495,72.0,1294.1
2.0,35.763,73.0,13705.9
2.02,36.03,74.0,764.7
2.04,35.495,75.0,6176.5
2.06,35.495,76.0,1058.8
2.08,35.495,77.0,2352.9
2.1,35.763,78.0,5058.8
2.12,35.495,79.0,1529.4
2.14,35.763,80.0,235.3
2.16,35.763,81.0,352.9
2.36,34.959,5.0,0.0
2.38,34.959,6.0,0.0
2.4,35.227,7.0,0.0
2.58,35.763,82.0,3294.1
2.6,36.03,83.0,58.8
2.62,36.03,84.0,58.8
2.64,35.763,85.0,176.5
2.66,35.495,86.0,58.8
2.68,36.03,87.0,58.8
2.7,35.763,88.0,0.0
2.72,35.495,89.0,117.6
2.74,35.495,90.0,117.6
2.76,35.227,91.0,529.4
2.78,35.227,92.0,294.1
2.8,35.227,93.0,58.8
2.82,35.227,94.0,117.6
2.84,35.495,95.0,235.3
2.86,35.227,96.0,882.4
2.88,35.763,97.0,294.1
2.9,35.495,98.0,411.8
2.92,34.424,99.0,0.0
2.94,36.03,100.0,176.5
2.96,35.495,101.0,58.8
