time,temp,m/z,abundance
0.0,0.0,108.0,470.6
0.02,0.0,109.0,352.9
0.04,0.0,110.0,235.3
0.06,0.0,111.0,235.3
0.08,0.0,112.0,352.9
0.1,0.0,113.0,411.8
0.12,0.0,114.0,294.1
0.14,0.0,115.0,470.6
0.16,0.0,116.0,117.6
0.18,0.0,117.0,176.5
0.2,0.0,118.0,294.1
0.22,0.0,119.0,1705.9
0.24,0.0,120.0,176.5
0.26,0.0,121.0,294.1
0.28,0.0,122.0,58.8
0.3,0.0,123.0,176.5
0.32,0.0,124.0,176.5
0.34,0.0,125.0,235.3
0.36,0.0,126.0,235.3
0.38,0.0,127.0,294.1
0.4,0.0,128.0,294.1
0.42,0.0,129.0,470.6
0.44,0.0,130.0,58.8
0.46,0.0,131.0,764.7
0.48,0.0,132.0,764.7
0.5,0.0,133.0,235.3
0.52,0.0,134.0,235.3
0.54,0.0,135.0,117.6
0.56,0.0,136.0,176.5
0.58,0.0,137.0,0.0
0.6,0.0,138.0,0.0
0.62,0.0,139.0,0.0
0.64,0.0,140.0,176.5
0.66,0.0,141.0,294.1
0.68,0.0,142.0,235.3
0.7,0.0,143.0,58.8
0.72,0.0,144.0,294.1
0.74,0.0,145.0,176.5
0.76,0.0,146.0,764.7
0.78,0.0,147.0,1352.9
0.8,0.0,148.0,235.3
0.82,0.0,149.0,0.0
0.84,0.0,150.0,647.1
0.88,0.0,151.1,588.2
0.9,0.0,151.0,0.0
0.92,0.0,152.0,58.8
0.94,0.0,153.0,58.8
0.96,0.0,154.0,235.3
0.98,0.0,155.0,0.0
1.0,0.0,184.0,0.0
1.02,0.005,189.0,58.8
1.04,0.01,192.0,0.0
1.06,0.015,207.0,58.8
1.08,0.021,221.0,0.0
1.1,0.026,233.0,0.0
1.12,0.031,281.0,58.8
1.16,0.041,1.9,402941.2
1.18,0.046,2.0,409352.9
1.2,0.051,3.0,58.8
1.22,0.056,12.0,20411.8
1.24,0.062,13.0,3823.5
1.26,0.067,14.0,29941.2
1.28,0.072,15.0,54588.2
1.3,0.077,16.0,274764.7
1.32,0.082,17.0,2451882.4
1.34,0.087,19.0,105058.8
1.36,0.092,20.0,108882.4
1.4,0.103,21.0,58.8
1.42,0.108,22.0,5411.8
1.44,0.113,23.0,588.2
1.46,0.118,24.0,10705.9
1.48,0.123,25.0,3411.8
1.5,0.128,26.0,23882.4
1.52,0.133,27.0,59882.4
1.54,0.138,28.0,927529.4
1.56,0.144,29.0,63647.1
1.58,0.149,30.0,43294.1
1.6,0.154,31.0,5764.7
1.62,0.159,32.0,415235.3
1.64,0.164,33.0,42705.9
1.66,0.169,34.0,118352.9
1.68,0.174,35.0,4294.1
1.7,0.179,35.8,28647.1
1.72,0.185,35.9,27058.8
1.74,0.19,36.0,27941.2
1.76,0.195,36.1,28117.6
1.78,0.2,36.2,21529.4
1.8,0.218,36.8,2470.6
1.82,0.236,36.9,1529.4
1.84,0.255,37.0,2941.2
1.86,0.273,37.1,1529.4
1.88,0.291,37.2,1882.4
1.9,0.309,37.8,8647.1
1.92,0.327,37.9,10000.0
1.94,0.345,38.0,10411.8
1.96,0.364,38.1,10058.8
1.98,0.382,38.2,7588.2
2.0,0.4,39.0,14352.9
2.02,0.416,39.8,10000.0
2.04,0.432,39.9,10588.2
2.06,0.448,40.0,10176.5
2.08,0.464,40.1,10117.6
2.1,0.48,40.2,9117.6
2.12,0.496,41.0,28529.4
2.14,0.512,42.0,32000.0
2.16,0.528,43.0,44000.0
2.18,0.544,44.0,1011000.0
2.2,0.56,45.0,35529.4
2.22,0.576,46.0,12352.9
2.24,0.592,47.0,23705.9
2.26,0.608,48.0,997529.4
2.28,0.624,49.0,10529.4
2.3,0.64,50.0,51176.5
2.32,0.656,51.0,4764.7
2.34,0.672,52.0,2588.2
2.36,0.688,53.0,3000.0
2.38,0.704,54.0,1411.8
2.4,0.72,55.0,5235.3
2.42,0.736,56.0,8882.4
2.44,0.752,57.0,4294.1
2.46,0.768,58.0,5647.1
2.48,0.784,59.0,2294.1
2.5,0.8,60.0,16588.2
2.52,0.816,61.0,588.2
2.54,0.832,62.0,2470.6
2.56,0.848,63.0,2470.6
2.58,0.864,63.8,2887764.7
2.6,0.88,63.9,2814294.1
2.62,0.896,64.0,2868000.0
2.64,0.912,64.1,2788705.9
2.66,0.928,64.2,2375529.4
2.68,0.944,65.0,32294.1
2.7,0.96,65.8,157588.2
2.72,0.976,65.9,154000.0
2.74,0.992,66.0,144352.9
2.76,1.008,66.1,150352.9
2.78,1.024,66.2,129764.7
2.8,1.04,67.0,2176.5
2.82,1.056,68.0,4058.8
2.84,1.072,69.0,9705.9
2.86,1.088,70.0,2294.1
2.88,1.104,71.0,1000.0
2.9,1.12,72.0,1588.2
2.92,1.136,73.0,2529.4
2.94,1.152,74.0,1117.6
2.96,1.168,75.0,4764.7
2.98,1.184,76.0,3235.3
3.0,1.2,77.0,2470.6
3.02,1.262,78.0,2823.5
3.04,1.324,79.0,3058.8
3.06,1.386,80.0,3176.5
3.08,1.448,81.0,2235.3
3.1,1.51,82.0,2176.5
3.12,1.572,83.0,823.5
3.14,1.634,84.0,705.9
