time,temp,m/z,abundance
0.0,-0.1,66.0,1588.2
0.02,-0.1,67.0,1000.0
0.04,-0.1,68.0,470.6
0.06,-0.1,69.0,4117.6
0.08,-0.1,70.0,588.2
0.1,-0.1,71.0,352.9
0.12,-0.1,72.0,588.2
0.14,-0.1,73.0,1352.9
0.16,-0.1,74.0,411.8
0.18,-0.1,75.0,2176.5
0.2,-0.1,76.0,352.9
0.22,-0.1,77.0,1176.5
0.24,-0.1,78.0,2117.6
0.26,-0.1,79.0,1294.1
0.28,-0.1,80.0,470.6
0.3,-0.1,81.0,705.9
0.32,-0.1,82.0,235.3
0.34,-0.1,83.0,411.8
0.36,-0.1,84.0,352.9
0.38,-0.1,85.0,117.6
0.4,-0.1,86.0,117.6
0.42,-0.1,87.0,58.8
0.44,-0.1,88.0,0.0
0.46,-0.1,89.0,0.0
0.48,-0.1,90.0,0.0
0.5,-0.1,91.0,764.7
0.52,-0.1,92.0,588.2
0.54,-0.1,93.0,176.5
0.56,-0.1,94.0,176.5
0.58,-0.1,95.0,176.5
0.6,-0.1,96.0,294.1
0.62,-0.1,97.0,529.4
0.64,-0.1,98.0,117.6
0.66,-0.1,99.0,176.5
0.68,-0.1,100.0,470.6
0.7,-0.1,147.0,941.2
0.74,-0.1,1.9,312588.2
0.76,-0.1,2.0,322941.2
0.78,-0.1,3.0,117.6
0.8,-0.1,12.0,11823.5
0.82,-0.1,13.0,2058.8
0.84,-0.1,14.0,14294.1
0.86,-0.1,15.0,35000.0
0.88,-0.1,16.0,147294.1
0.9,-0.1,17.0,1113117.6
0.92,-0.1,18.0,4607352.9
0.94,-0.1,19.0,93058.8
0.96,-0.1,20.0,50117.6
1.0,-0.1,21.0,235.3
1.02,-0.046,22.0,3882.4
1.04,0.008,23.0,117.6
1.06,0.062,24.0,823.5
1.08,0.115,25.0,1705.9
1.1,0.169,26.0,13882.4
1.12,0.223,27.0,45529.4
1.14,0.277,28.0,556529.4
1.16,0.331,29.0,34705.9
1.18,0.385,30.0,24411.8
1.2,0.438,31.0,3823.5
1.22,0.492,32.0,140117.6
1.24,0.546,33.0,1941.2
1.26,0.6,34.0,4647.1
1.28,0.654,35.0,647.1
1.3,0.708,36.0,6117.6
1.32,0.762,37.0,705.9
1.34,0.815,38.0,4529.4
1.36,0.869,39.0,8000.0
1.38,0.923,40.0,4235.3
1.4,0.977,41.0,15941.2
1.42,1.031,42.0,15882.4
1.44,1.085,43.0,19647.1
1.46,1.138,45.0,11470.6
1.48,1.192,46.0,3647.1
1.5,1.246,47.0,2235.3
1.52,1.3,48.0,5941.2
1.54,1.3,49.0,529.4
1.56,1.3,50.0,2235.3
1.58,1.3,51.0,2823.5
1.6,1.3,52.0,1058.8
1.62,1.3,53.0,1000.0
1.64,1.3,54.0,1470.6
1.66,1.3,55.0,3470.6
1.68,1.3,56.0,3235.3
1.7,1.3,57.0,1705.9
1.72,1.3,58.0,2529.4
1.74,1.3,59.0,941.2
1.76,1.3,60.0,1588.2
1.78,1.3,61.0,470.6
1.8,1.3,62.0,470.6
1.82,1.3,63.0,176.5
1.84,1.3,64.0,15470.6
1.86,1.3,65.0,705.9
1.88,1.3,66.0,1705.9
1.9,1.3,67.0,764.7
1.92,1.3,68.0,647.1
1.94,1.3,69.0,3588.2
1.96,1.3,70.0,823.5
1.98,1.3,71.0,0.0
2.0,1.3,72.0,235.3
2.02,1.304,73.0,1941.2
